Date,Equity
2022-01-01,1000.0
2022-01-02,1000.0
2022-01-03,1000.0
2022-01-04,1000.0
2022-01-05,998.0
2022-01-06,997.8
2022-01-07,992.51
2022-01-08,992.51
2022-01-09,992.51
2022-01-10,1004.48
2022-01-11,1012.21
2022-01-12,1024.48
2022-01-13,1003.88
2022-01-14,1010.35
2022-01-15,1010.35
2022-01-16,1010.35
2022-01-17,1010.35
2022-01-18,985.13
2022-01-19,978.74
2022-01-20,965.64
2022-01-21,944.23
2022-01-22,944.23
2022-01-23,944.23
2022-01-24,947.5
2022-01-25,919.48
2022-01-26,936.12
2022-01-27,934.47
2022-01-28,963.95
2022-01-29,963.95
2022-01-30,963.95
2022-01-31,963.95
2022-02-01,963.95
2022-02-02,963.95
2022-02-03,961.95
2022-02-04,959.24
2022-02-05,959.24
2022-02-06,959.24
2022-02-07,909.96
2022-02-08,890.83
2022-02-09,938.65
2022-02-10,922.75
2022-02-11,888.28
2022-02-12,888.28
2022-02-13,888.28
2022-02-14,880.79
2022-02-15,894.14
2022-02-16,876.1
2022-02-17,840.37
2022-02-18,834.1
2022-02-19,834.1
2022-02-20,834.1
2022-02-21,834.1
2022-02-22,813.6
2022-02-23,756.66
2022-02-24,793.04
2022-02-25,802.05
2022-02-26,802.05
2022-02-27,802.05
2022-02-28,862.02
2022-03-01,856.02
2022-03-02,871.39
2022-03-03,831.18
2022-03-04,830.19
2022-03-05,830.19
2022-03-06,830.19
2022-03-07,796.81
2022-03-08,816.44
2022-03-09,850.67
2022-03-10,826.2
2022-03-11,826.77
2022-03-12,826.77
2022-03-13,826.77
2022-03-14,842.02
2022-03-15,857.56
2022-03-16,855.25
2022-03-17,864.32
2022-03-18,864.46
2022-03-19,864.46
2022-03-20,864.46
2022-03-21,871.36
2022-03-22,874.53
2022-03-23,868.78
2022-03-24,877.12
2022-03-25,885.03
2022-03-26,885.03
2022-03-27,885.03
2022-03-28,888.64
2022-03-29,888.64
2022-03-30,888.64
2022-03-31,888.64
2022-04-01,888.64
2022-04-02,888.64
2022-04-03,888.64
2022-04-04,888.64
2022-04-05,888.64
2022-04-06,888.64
2022-04-07,888.64
2022-04-08,888.64
2022-04-09,888.64
