Date,Equity
2023-01-01,1000.0
2023-01-02,1000.0
2023-01-03,998.0
2023-01-04,995.55
2023-01-05,985.15
2023-01-06,1007.4
2023-01-07,1007.4
2023-01-08,1007.4
2023-01-09,997.56
2023-01-10,989.32
2023-01-11,990.43
2023-01-12,977.81
2023-01-13,974.8
2023-01-14,974.8
2023-01-15,974.8
2023-01-16,974.8
2023-01-17,979.36
2023-01-18,954.67
2023-01-19,943.6
2023-01-20,944.99
2023-01-21,944.99
2023-01-22,944.99
2023-01-23,940.76
2023-01-24,947.49
2023-01-25,947.49
2023-01-26,947.49
2023-01-27,947.49
2023-01-28,947.49
2023-01-29,947.49
2023-01-30,947.49
2023-01-31,947.49
2023-02-01,947.49
2023-02-02,947.49
2023-02-03,947.49
2023-02-04,947.49
2023-02-05,947.49
2023-02-06,947.49
2023-02-07,947.49
2023-02-08,947.49
2023-02-09,947.49
2023-02-10,947.49
2023-02-11,947.49
2023-02-12,947.49
2023-02-13,947.49
2023-02-14,947.49
2023-02-15,947.49
2023-02-16,947.49
2023-02-17,947.49
2023-02-18,947.49
2023-02-19,947.49
2023-02-20,947.49
2023-02-21,947.49
2023-02-22,945.49
2023-02-23,913.79
2023-02-24,895.43
2023-02-25,895.43
2023-02-26,895.43
2023-02-27,912.04
2023-02-28,909.5
2023-03-01,885.07
2023-03-02,880.56
2023-03-03,889.87
2023-03-04,889.87
2023-03-05,889.87
2023-03-06,880.98
2023-03-07,870.93
2023-03-08,880.3
2023-03-09,840.75
2023-03-10,826.57
2023-03-11,826.57
2023-03-12,826.57
2023-03-13,828.69
2023-03-14,832.73
2023-03-15,857.71
2023-03-16,875.42
2023-03-17,856.9
2023-03-18,856.9
2023-03-19,856.9
2023-03-20,861.5
2023-03-21,863.36
2023-03-22,829.79
2023-03-23,902.53
2023-03-24,902.53
2023-03-25,902.53
2023-03-26,902.53
2023-03-27,902.53
2023-03-28,902.53
2023-03-29,902.53
2023-03-30,902.53
2023-03-31,902.53
2023-04-01,902.53
2023-04-02,902.53
2023-04-03,902.53
2023-04-04,902.53
2023-04-05,902.53
2023-04-06,902.53
2023-04-07,902.53
2023-04-08,902.53
2023-04-09,902.53
2023-04-10,902.53
2023-04-11,902.53
2023-04-12,902.53
2023-04-13,902.53
2023-04-14,902.53
2023-04-15,902.53
2023-04-16,902.53
2023-04-17,902.53
2023-04-18,902.53
2023-04-19,902.53
2023-04-20,900.53
2023-04-21,912.07
2023-04-22,912.07
2023-04-23,912.07
2023-04-24,898.1
2023-04-25,887.71
2023-04-26,849.47
2023-04-27,885.06
2023-04-28,907.82
2023-04-29,907.82
2023-04-30,907.82
2023-05-01,894.12
2023-05-02,885.72
2023-05-03,887.38
2023-05-04,890.64
2023-05-05,939.59
2023-05-06,939.59
2023-05-07,939.59
2023-05-08,947.15
2023-05-09,947.15
2023-05-10,947.15
2023-05-11,947.15
2023-05-12,947.15
2023-05-13,947.15
2023-05-14,947.15
2023-05-15,947.15
2023-05-16,947.15
2023-05-17,947.15
2023-05-18,945.15
2023-05-19,945.6
2023-05-20,945.6
2023-05-21,945.6
2023-05-22,925.73
2023-05-23,924.08
2023-05-24,916.25
